Symbol,Date,Volume,High,Low,Open,Close
$indu,04/19/06,0,11302.9500,11236.1900,11265.4000,11278.7700
$indu,04/20/06,0,11384.1100,11275.0500,11278.5300,11342.8900
$indu,04/21/06,0,11405.8800,11316.7900,11343.4500,11347.4500
$indu,04/24/06,0,11359.7000,11305.8300,11346.8100,11336.3200
$indu,04/25/06,0,11355.3700,11260.8400,11336.5600,11283.2500
$indu,04/26/06,0,11379.8700,11282.7700,11283.2500,11354.4900
$indu,04/27/06,0,11416.9300,11275.3000,11349.5300,11382.5100
$indu,04/28/06,0,11417.6600,11347.2100,11358.3300,11367.1400
$indu,05/01/06,0,11428.3700,11329.4400,11367.7800,11343.2900
$indu,05/02/06,0,11427.6500,11345.1300,11345.2100,11416.4500
$indu,05/03/06,0,11424.9300,11362.4200,11414.6900,11400.2800
$indu,05/04/06,0,11463.1100,11401.8000,11401.8000,11438.8600
$indu,05/05/06,0,11586.3800,11440.6200,11440.6200,11577.7400
$indu,05/08/06,0,11603.5900,11561.9700,11576.3700,11584.5400
$indu,05/09/06,0,11640.7300,11572.0500,11584.6200,11639.7700
$indu,05/10/06,0,11670.1900,11595.1800,11630.4800,11642.6500
$indu,05/11/06,0,11639.4500,11479.4400,11639.2900,11500.7300
$indu,05/12/06,0,11500.0100,11374.7400,11500.0100,11380.9900
$indu,05/15/06,0,11435.3400,11333.0400,11380.4300,11428.7700
$indu,05/16/06,0,11460.5500,11392.6700,11428.2100,11419.8900
$indu,05/17/06,0,11410.1300,11174.3800,11410.1300,11205.6100
$indu,05/18/06,0,11247.3900,11127.0900,11206.1700,11128.2900
$indu,05/19/06,0,11180.2900,11075.2200,11124.3700,11144.0600
$indu,05/22/06,0,11175.3500,11040.0700,11143.4200,11125.3300
$indu,05/23/06,0,11202.6500,11097.3100,11126.2900,11098.3500
$indu,05/24/06,0,11168.2400,11030.4700,11100.1100,11117.3200
$indu,05/25/06,0,11214.9800,11114.9600,11114.9600,11211.0500
$indu,05/26/06,0,11283.4900,11211.5400,11211.6900,11278.6100
$indu,05/30/06,0,11278.1300,11094.3500,11277.2500,11094.4300
$indu,05/31/06,0,11183.0400,11085.3800,11091.1500,11168.3100
$indu,06/01/06,0,11270.2100,11150.0700,11169.0300,11260.2800
$indu,06/02/06,0,11285.8200,11191.5300,11260.5200,11247.8700
$indu,06/05/06,0,11248.7900,11040.2400,11247.5500,11048.7200
$indu,06/06/06,0,11094.2600,10926.4200,11048.2400,11002.1400
$indu,06/07/06,0,11077.3800,10928.3400,11002.0600,10930.9000
$indu,06/08/06,0,10964.6800,10757.5500,10929.7000,10938.8200
$indu,06/09/06,0,10976.2000,10871.5900,10939.1400,10891.9200
$indu,06/12/06,0,10927.1200,10790.2600,10892.0000,10792.5800
$indu,06/13/06,0,10862.3000,10700.9300,10783.1400,10706.1400
$indu,06/14/06,0,10817.0000,10698.8500,10706.7800,10816.9200
$indu,06/15/06,0,11036.4800,10817.4800,10817.4800,11015.1900
$indu,06/16/06,0,11045.2000,10984.1300,11014.3800,11014.5500
$indu,06/19/06,0,11057.6100,10907.2900,11014.8700,10942.1100
$indu,06/20/06,0,11029.8300,10938.4200,10942.0300,10974.8400
$indu,06/21/06,0,11131.7300,10971.7200,10975.2400,11079.4600
$indu,06/22/06,0,11077.7800,10986.1400,11077.7800,11019.1100
$indu,06/23/06,0,11074.2600,10973.4000,11019.1900,10989.0900
$indu,06/26/06,0,11048.7200,10973.7200,10990.2900,11045.2800
$indu,06/27/06,0,11064.0900,10920.7300,11048.2400,10924.7400
$indu,06/28/06,0,10981.2500,10902.4800,10925.3000,10973.5600
$indu,06/29/06,0,11195.5400,10974.3600,10974.3600,11190.8000
$indu,06/30/06,0,11235.6300,11150.0600,11190.8000,11150.2200
$indu,07/03/06,0,11231.3000,11149.3400,11149.3400,11228.0200
$indu,07/05/06,0,11225.0600,11123.3200,11225.0600,11151.8200
$indu,07/06/06,0,11257.0800,11147.1200,11147.1200,11225.3000
$indu,07/07/06,0,11224.1800,11066.0100,11224.1800,11090.6700
$indu,07/10/06,0,11174.4700,11090.0400,11091.7100,11103.5500
$indu,07/11/06,0,11151.1800,11027.9900,11102.5900,11134.7700
$indu,07/12/06,0,11149.9600,10995.9700,11133.9700,11013.1800
$indu,07/13/06,0,11012.6200,10832.9300,11012.6200,10846.2900
$indu,07/14/06,0,10848.3700,10701.3400,10846.5300,10739.3500
$indu,07/17/06,0,10802.6700,10714.7100,10739.3500,10747.3600
$indu,07/18/06,0,10813.7900,10683.3200,10745.8400,10799.2300
